stock,model,n,mse,mae,r2,qlike
SH600029,lstm4_raw,417,0.16074840065814816,0.27305612009362096,0.18716642005729311,-7.3508154582590155
SH600030,lstm4_raw,410,0.17402714788446705,0.2740165039338696,0.3211238731469197,-7.1894437687716595
SH600031,lstm4_raw,417,0.1374827274751926,0.21803774985007765,0.1783148928017717,-6.886685959641076
SH600036,lstm4_raw,417,0.13235146563280142,0.22208240073726443,0.11319199968115434,-7.632609222067579
SH600038,lstm4_raw,417,0.1377906292761974,0.23557874959624728,0.39269493821547063,-7.0368460277827625
SH600048,lstm4_raw,417,0.1307609745299496,0.22244137738768371,0.13209520732023683,-7.09552380091016
SH600066,lstm4_raw,417,0.14201630663294001,0.2568547079581379,0.40019779503205255,-6.923343861330855
SH600068,lstm4_raw,417,0.1648513762131643,0.27060169225250413,0.3230957571036728,-7.593323812782976
SH600085,lstm4_raw,417,0.16812332823007073,0.2733872821478287,0.2614407915474405,-7.567613921683647
SH600089,lstm4_raw,417,0.13797143637032006,0.2553930187198131,0.6554188873629183,-7.626147099150192
SH600104,lstm4_raw,417,0.1275024420797673,0.24356109914221238,0.32114807421406133,-7.398423070679171
SH600109,lstm4_raw,412,0.16401105739859173,0.2694039729645423,0.4416662985615514,-6.884045306873245
SH600111,lstm4_raw,414,0.16637328384962097,0.25986154122077465,0.3419370483268789,-6.930212312459402
SH600115,lstm4_raw,416,0.17291726037376384,0.28643692845877583,0.2562366885001909,-7.283918704003543
SH600118,lstm4_raw,417,0.1160451118132996,0.23313112181444698,0.6119278442905745,-6.728655375209479
SH600170,lstm4_raw,417,0.14228560281077293,0.2598943435108133,0.37670266622274695,-8.09188720401806
SH600177,lstm4_raw,417,0.17876139877190453,0.31257910254462506,0.20934323175995984,-8.069021361479857
SH600188,lstm4_raw,417,0.15290013982015235,0.2487249071891483,0.11321801041163027,-7.508752692363103
SH600196,lstm4_raw,417,0.15678742910214424,0.25998690628816573,0.4152951251438136,-6.74201176532238
SH600208,lstm4_raw,416,0.2847041478538626,0.3025238273264507,0.24764366865878906,-7.037374008700817
