stock,n,HAR_mse,HAR_mae,HAR_r2,HAR_ql,LSTM-32_ens_mse,LSTM-32_ens_mae,LSTM-32_ens_r2,LSTM-32_ens_ql,GRU-32_ens_mse,GRU-32_ens_mae,GRU-32_ens_r2,GRU-32_ens_ql,LSTM-4_ens_mse,LSTM-4_ens_mae,LSTM-4_ens_r2,LSTM-4_ens_ql,LSTM-32_1_mse,LSTM-32_1_mae,LSTM-32_1_r2,LSTM-32_1_ql,GRU-32_1_mse,GRU-32_1_mae,GRU-32_1_r2,GRU-32_1_ql,LSTM-4_1_mse,LSTM-4_1_mae,LSTM-4_1_r2,LSTM-4_1_ql
SH601800,395,0.19868886177731546,0.3075700950613619,0.232534924609337,-7.3087326555483,0.2195071919412607,0.31270051270279253,0.1521210494385845,-7.347366094546308,0.2172864598694627,0.3124190706521833,0.16069895507284726,-7.345253946956892,0.21325333643199212,0.3085009184139292,0.17627749005115578,-7.360607309437625,0.22420108843841252,0.3192622376713241,0.1339901809196432,-7.332277298390485,0.22015820148685475,0.3115171786419834,0.14960642891320564,-7.338714875887493,0.2183847865814755,0.3111396450231518,0.15645650592246052,-7.342710463003636
SH601818,395,0.15836993900500737,0.2672435885475911,0.240938119605143,-7.783598314479652,0.17142919815637994,0.2795770593571758,0.17834552235920242,-7.8015825220739154,0.16725582184813462,0.2729616516236533,0.19834837699206231,-7.8007471981945375,0.16519845225386703,0.26873521289988994,0.20820928142066453,-7.8018119846314855,0.17529897744505346,0.28472892134297584,0.15979779820126916,-7.790959728347634,0.16774757494151932,0.27117329132913665,0.19599142067762698,-7.803163253595972,0.16532014582247254,0.26877832341573527,0.20762600817071564,-7.792902948005502
SH601857,395,0.14285500098830747,0.2617017444114745,0.08198433599844035,-8.733394937797634,0.1595061115920832,0.27649999618795273,-0.025019130814315504,-8.77625724398948,0.14877625470641642,0.262313981331911,0.043933139847481706,-8.785309833146947,0.16922291242799645,0.295196897833408,-0.08746129461425078,-8.786035467843964,0.15718672271282444,0.2753927099586615,-0.010114260089874927,-8.77181927892163,0.14528150790247907,0.2540464021405052,0.06639110271569426,-8.784992037425779,0.15743204581109974,0.2773434905641271,-0.011690756855126772,-8.784940694033365
SH601888,395,0.148465099416012,0.2426921030446014,0.46337550046369436,-6.471873044929576,0.14182229032997343,0.23663279618403407,0.4873858174697274,-6.7213756485954805,0.13812902729142296,0.23645206636354435,0.5007350519868893,-6.731991124703185,0.13985406526240157,0.24087266345021274,0.4944999324773294,-6.7223882341800625,0.14327711298000595,0.24001655659715262,0.4821273865013811,-6.7141538832162455,0.14130871586966826,0.23727394876810143,0.48924212335454453,-6.738365194890694,0.148081681556647,0.25160709210680726,0.46476135759580384,-6.698852220931031
SH601899,391,0.18073465144852716,0.27544303382796476,0.21658146667757583,-6.7171002581119685,0.19174616136209907,0.27994937703741857,0.16885060335382251,-6.9195338226146745,0.19403056259266846,0.2819049276686907,0.15894856051240158,-6.908581993228031,0.18874640837968568,0.2791833106539135,0.18185343409478405,-6.903075971178499,0.1970294761431993,0.28537784043891296,0.14594936840127104,-6.897096658366408,0.19071366631172093,0.2749377561121607,0.17332609132221732,-6.939342092675678,0.18326230395190435,0.280950745552401,0.20562501864133154,-6.913793599051899
SH601901,393,0.21864658678300344,0.3129982318690891,0.2648319041232957,-6.679061302641143,0.22895086213554397,0.3142512978092329,0.23018524166322862,-6.836021886726772,0.23275973777989864,0.31049031646538966,0.2173784382454812,-6.838525127760796,0.22607428529444376,0.3093113997372256,0.23985732276007865,-6.845702726440895,0.23298266980344803,0.31376295629274337,0.2166288609770951,-6.827257218879653,0.23735371442158848,0.3122660461976001,0.2019318442242124,-6.837012267829528,0.22996032863017737,0.3170635125018175,0.22679105393942256,-6.827719152740484
SH601933,395,0.17338693035861147,0.2632876258918145,0.0946350255552757,-6.8259200175738215,0.18568730917550494,0.2714773506487205,0.03040681567703274,-6.931671449292936,0.18373345718687992,0.27346346203072175,0.040609136879049545,-6.958067011220936,0.18178016081791273,0.2715758863902404,0.05080855683253349,-6.969465460765045,0.18824728171927674,0.27352778838003794,0.017039548191083886,-6.898049643020089,0.180683915338715,0.26998355060034324,0.05653276140900432,-7.009191684112171,0.18350256329033254,0.272319569436403,0.04181478280815565,-6.981862890347334
SH601939,395,0.15418966286299615,0.26780829701885744,0.1998053671733525,-8.342053955338104,0.16803714097943406,0.276187232849028,0.12794142077635118,-8.365972074928873,0.16061124959194711,0.265880885635382,0.1664794026480706,-8.380584211554698,0.1637043811160078,0.27081565465576674,0.1504270473979038,-8.407030845377692,0.17098851551638805,0.2791033137902881,0.11262473858066946,-8.358896793050421,0.16103996369093893,0.2658728458144366,0.16425451471031582,-8.37519989271318,0.16543722419551427,0.27211046046695303,0.14143415055900266,-8.3864851792472
SH601988,395,0.1435589014582372,0.27154207151763754,0.1976487395007206,-8.927951311928398,0.16101016434597565,0.291157180449725,0.10011356311631092,-8.951770857106624,0.15915881663644788,0.28789012528713087,0.11046075268988254,-8.960068324857886,0.2009075271481637,0.34083671874589444,-0.12287295328751657,-8.937986462701739,0.1634237533633643,0.2942289611011793,0.08662400467891684,-8.946585035100235,0.15750266264579288,0.2829992339157214,0.1197170038069163,-8.95855427987303,0.19920491188052944,0.33588122505700907,-0.11335702991212715,-8.932093273280605
SH601998,395,0.17052788797050009,0.2877400434356664,0.2871095240155339,-8.082988468095367,0.18330385908675864,0.2971983536321525,0.23369967863112995,-8.081013733567085,0.17883779380486695,0.29128553888524333,0.2523700289326375,-8.085970230812487,0.17565161282269207,0.28581585986175184,0.26568983312412686,-8.107843758153635,0.1896569931354013,0.30385492301423656,0.20714045239645407,-8.05810887431313,0.1800506456853724,0.2884419778281507,0.2472997113166604,-8.081060277955967,0.17821035422795142,0.28491037184043705,0.2549930350811461,-8.077766980882403
