stock,model,har_beta_0,har_beta_1,har_beta_2,har_beta_3,calib_a,calib_b,converged,persistence,median_sigma,error,har_pooled_beta_0,har_pooled_beta_1,har_pooled_beta_2,har_pooled_beta_3
SH600208,garch,,,,,-0.6285491727507712,0.8946489002796978,True,0.9907379066221492,0.026293770798110606,,,,,
SH600208,egarch,,,,,-0.5843174761502938,0.9090026984705247,True,0.9710843306578752,0.026722081166582652,,,,,
SH600221,naive,,,,,,,,,,,,,,
SH600221,har,0.09125810026495121,0.22384599359455218,0.5538170126973997,-0.5156200936747078,,,,,,,,,,
SH600221,har_x,,,,,,,,,,,,,,
SH600221,ewma,,,,,-1.1032418727087778,0.7591521876213089,True,,,,,,,
SH600221,garch,,,,,-0.8598172938339481,0.8362605412497631,True,0.999879998800986,0.022805330394024322,,,,,
SH600221,egarch,,,,,-0.691125391515134,0.8842658557396701,True,0.9866015264867255,0.023073793388693236,,,,,
SH600252,naive,,,,,,,,,,,,,,
SH600252,har,0.032887594396831504,0.39576796898378175,0.4492031217028625,-0.47648776225440015,,,,,,,,,,
SH600252,har_x,,,,,,,,,,,,,,
SH600252,ewma,,,,,-1.3073643842963738,0.7030927303059139,True,,,,,,,
SH600252,garch,,,,,-1.0593824222125185,0.7833532057561319,True,0.9985729763639907,0.024477434395027156,,,,,
SH600252,egarch,,,,,-0.9479003015101886,0.8138110662144811,True,0.9979035115006996,0.023960261366518028,,,,,
SH600256,naive,,,,,,,,,,,,,,
SH600256,har,0.11699221573218528,0.20469065151009821,0.4685780616804105,-0.7959737661580267,,,,,,,,,,
SH600256,har_x,,,,,,,,,,,,,,
SH600256,ewma,,,,,-1.1732524866831164,0.7322153049231055,True,,,,,,,
SH600256,garch,,,,,-0.19258418922559478,1.0208377662807486,True,0.9707020838153394,0.02695400961880722,,,,,
SH600256,egarch,,,,,-0.19141115306845105,1.022576632164621,True,0.9728092412787518,0.027141245249192647,,,,,
SH600271,naive,,,,,,,,,,,,,,
SH600271,har,0.11977038174359238,0.13881283249803986,0.49852899908032655,-0.9356781425312296,,,,,,,,,,
SH600271,har_x,,,,,,,,,,,,,,
SH600271,ewma,,,,,-1.0489426838875981,0.7689546284729077,True,,,,,,,
SH600271,garch,,,,,-0.1773954317181826,1.020924573040449,True,0.9864482084256417,0.025158602465997125,,,,,
SH600271,egarch,,,,,-0.27007266000985697,0.9970670372291405,True,0.9856909955679989,0.02528125053682491,,,,,
SH600276,naive,,,,,,,,,,,,,,
SH600276,har,0.04365147730497477,0.2673813819033647,0.48192169825841646,-0.8384853252320699,,,,,,,,,,
SH600276,har_x,,,,,,,,,,,,,,
SH600276,ewma,,,,,-2.28380432001437,0.4487221521924873,True,,,,,,,
SH600276,garch,,,,,-1.9657811626040314,0.5408242734098231,True,1.0,0.018674140240690102,,,,,
SH600276,egarch,,,,,-1.776596861740724,0.5890164506820029,True,0.987203732328053,0.018785617423318836,,,,,
SH600309,naive,,,,,,,,,,,,,,
SH600309,har,0.07272180948770957,0.3767276282044857,0.3911592940240522,-0.6148561133123619,,,,,,,,,,
SH600309,har_x,,,,,,,,,,,,,,
SH600309,ewma,,,,,-1.0206115300963354,0.7666546349179362,True,,,,,,,
SH600309,garch,,,,,-0.4078319024515578,0.9418528087793835,True,0.992459646498357,0.024726873251510004,,,,,
SH600309,egarch,,,,,-0.36815830765715063,0.9535168980221463,True,0.9901915563491501,0.024680326157562514,,,,,
SH600332,naive,,,,,,,,,,,,,,
SH600332,har,0.047687458035140184,0.2784673951982453,0.4176685720869737,-1.0158269043142016,,,,,,,,,,
SH600332,har_x,,,,,,,,,,,,,,
SH600332,ewma,,,,,-1.420479056772384,0.6998261115016825,True,,,,,,,
SH600332,garch,,,,,-0.07861312975657211,1.0900407505220344,True,0.9703659911666139,0.02391041701818572,,,,,
SH600332,egarch,,,,,-0.19874692589817533,1.0569333867791721,True,0.9723627485829568,0.023491862835219247,,,,,
SH600340,naive,,,,,,,,,,,,,,
SH600340,har,0.11144625795634602,0.40476606239264856,0.2774116017032129,-0.7569959327122874,,,,,,,,,,
SH600340,har_x,,,,,,,,,,,,,,
SH600340,ewma,,,,,-0.6585430893852442,0.871456253200999,True,,,,,,,
SH600340,garch,,,,,0.8053123556325502,1.3089847344527763,True,0.9780417226943755,0.02852989724989606,,,,,
SH600340,egarch,,,,,0.8769492379429356,1.332052352085665,True,0.9786451250294352,0.028727362961422663,,,,,
SH600352,naive,,,,,,,,,,,,,,
SH600352,har,0.04387194095154218,0.32795997268330884,0.4328179127635101,-0.758127012601212,,,,,,,,,,
SH600352,har_x,,,,,,,,,,,,,,
SH600352,ewma,,,,,-1.2675179512990193,0.7128513070642065,True,,,,,,,
SH600352,garch,,,,,-0.28410657684639307,0.9924567848726015,True,0.9822920954452002,0.024781340985125286,,,,,
SH600352,egarch,,,,,-0.2788621615446584,0.9950072287690931,True,0.9859685304545812,0.02504513425114827,,,,,
SH600362,naive,,,,,,,,,,,,,,
SH600362,har,0.08334800807695504,0.3472179380014652,0.4505188877025904,-0.4607716715767975,,,,,,,,,,
